iter	Passed	Remaining
0	2	2416
1	5	2500
2	7	2596
3	10	2613
4	13	2615
5	15	2604
6	18	2594
7	20	2569
8	23	2555
9	25	2542
10	28	2534
11	30	2508
12	32	2486
13	35	2482
14	37	2466
15	39	2415
16	41	2405
17	43	2381
18	46	2380
19	48	2367
20	50	2365
21	53	2359
22	55	2355
23	57	2345
24	59	2339
25	62	2337
26	64	2338
27	67	2331
28	69	2331
29	72	2331
30	74	2335
31	77	2332
32	78	2301
33	80	2297
34	83	2292
35	85	2278
36	87	2279
37	89	2261
38	91	2259
39	93	2242
40	95	2239
41	97	2233
42	100	2231
43	102	2216
44	103	2198
45	105	2195
46	108	2191
47	110	2190
48	112	2174
49	113	2165
50	116	2166
51	118	2162
52	120	2161
53	123	2156
54	125	2154
55	127	2156
56	130	2159
57	132	2149
58	134	2141
59	136	2138
60	138	2138
61	140	2127
62	142	2118
63	144	2116
64	147	2117
65	149	2119
66	152	2123
67	154	2122
68	156	2107
69	158	2101
70	160	2104
71	163	2108
72	166	2109
73	167	2101
74	169	2090
75	171	2082
76	174	2086
77	175	2077
78	178	2077
79	179	2068
80	182	2071
81	184	2068
82	186	2065
83	189	2064
84	191	2057
85	192	2050
86	194	2042
87	197	2041
88	199	2039
89	201	2039
90	203	2037
91	205	2031
92	207	2027
93	210	2027
94	212	2024
95	214	2016
96	216	2015
97	218	2014
98	220	2008
99	222	2001
100	224	2001
101	227	2000
102	229	1998
103	231	1994
104	233	1994
105	236	1993
106	238	1991
107	240	1983
108	242	1985
109	245	1985
110	247	1984
111	249	1979
112	251	1977
113	254	1974
114	256	1973
115	258	1973
116	261	1973
117	263	1972
118	266	1971
119	268	1970
120	271	1970
121	273	1970
122	275	1965
123	278	1965
124	280	1965
125	283	1963
126	285	1964
127	288	1963
128	290	1962
129	293	1961
130	296	1963
131	298	1962
132	300	1961
133	303	1961
134	306	1961
135	308	1961
136	311	1960
137	313	1957
138	316	1959
139	318	1959
140	320	1954
141	323	1953
142	325	1953
143	328	1953
144	331	1953
145	333	1953
146	336	1952
147	339	1952
148	341	1951
149	344	1954
150	347	1955
151	349	1950
152	352	1949
153	354	1949
154	357	1948
155	359	1947
156	362	1945
157	364	1944
158	367	1943
159	369	1942
160	372	1940
161	375	1940
162	377	1940
163	380	1938
164	382	1935
165	385	1937
166	387	1934
167	390	1931
168	392	1929
169	395	1928
170	396	1922
171	398	1918
172	401	1917
173	403	1914
174	405	1913
175	408	1911
176	410	1909
177	413	1907
178	414	1902
179	417	1901
180	419	1899
181	422	1897
182	424	1893
183	426	1891
184	429	1890
185	431	1888
186	434	1887
187	436	1884
188	438	1882
189	441	1881
190	443	1879
191	445	1875
192	448	1874
193	450	1872
194	453	1870
195	455	1869
196	458	1868
197	460	1866
198	463	1865
199	465	1863
200	468	1861
201	471	1861
202	473	1857
203	474	1853
204	478	1853
205	480	1852
206	483	1850
207	485	1849
208	487	1845
209	490	1843
210	492	1842
211	495	1840
212	497	1836
213	499	1834
214	502	1833
215	504	1830
216	507	1831
217	510	1830
218	512	1828
219	515	1827
220	517	1823
221	520	1822
222	522	1821
223	525	1819
224	527	1817
225	530	1817
226	532	1814
227	535	1813
228	538	1812
229	541	1811
230	543	1808
231	545	1806
232	548	1805
233	551	1804
234	553	1800
235	555	1799
236	558	1797
237	560	1795
238	563	1794
239	566	1792
240	568	1790
241	571	1788
242	573	1786
243	575	1784
244	578	1782
245	581	1781
246	583	1779
247	586	1778
248	588	1776
249	590	1772
250	593	1770
251	595	1768
252	598	1766
253	600	1764
254	602	1761
255	605	1759
256	608	1757
257	610	1756
258	613	1753
259	615	1751
260	617	1748
261	620	1746
262	622	1743
